date,AAPL,AMZN,GOOG,MSFT
2021-01-01,116.679447678439,125.02343138297397,105.66493381852526,113.6251490192744
2021-01-04,117.28029294803515,124.8431179236873,106.10987061441072,111.20952421815649
2021-01-05,117.81025368291847,126.67770105577733,106.04562741874362,114.07612992922748
2021-01-06,119.7137549420309,126.11431616466193,104.78766298644054,115.58700203911951
2021-01-07,118.63714513932892,126.6609570616879,108.20180358429438,117.60329509992116
2021-01-08,117.67340990067073,127.3188078239347,109.85998694116003,116.7623333453162
2021-01-11,116.6325938051588,126.00062791299088,107.99166845207459,116.50023298018642
2021-01-12,114.96065283773281,127.99922077050314,109.43920148840427,113.9132667153119
2021-01-13,110.33930711338942,127.6615863727318,111.61799107297657,112.98880822855011
2021-01-14,112.01594544883405,126.16557430132332,111.86306268992196,113.88363619762794
2021-01-15,113.47846917076505,127.25061000927624,112.5144584602227,116.2452698241524
2021-01-18,110.80018191121881,125.47706536647853,113.12849306736538,114.24900951758887
2021-01-19,110.06833624929197,125.54708840347767,109.48525193116627,113.60622134583642
2021-01-20,108.80134430922597,125.54338188168613,109.17597417576656,113.34878055915615
2021-01-21,107.61511950556486,127.72336398220175,108.7783783311899,110.8970276859359
2021-01-22,104.0612203266074,128.69645737564073,111.26886810722638,111.94739290434835
2021-01-25,103.04648235289405,128.66042094663172,111.86796755411885,110.69087053965958
2021-01-26,104.03292871282312,130.34297345823126,111.3575805499756,110.36337653645862
2021-01-27,108.3243217405672,133.24333353270904,111.21232655733836,109.59315281498591
2021-01-28,109.01139086142877,134.43432716430198,113.03213076100592,108.25159189845861
2021-01-29,109.23387636440143,134.47158753926095,112.71688962653832,108.25193172335263
2021-02-01,108.36313812074692,131.73700387052864,111.49701448194108,107.89729121343987
2021-02-02,107.35584325446733,129.5604624899342,111.02662089905282,107.27950699451743
2021-02-03,108.98211831841246,128.95389198840695,112.6965332316377,106.06790885467198
2021-02-04,109.49525978149701,127.73656872778702,113.59353672434301,106.61515476828347
2021-02-05,108.41714284825511,127.37552999637735,113.68572600115291,109.44058266052916
2021-02-08,106.6990626426102,127.50376482582439,114.04218225360225,109.69446190697586
2021-02-09,106.43974524577885,128.58650342941814,113.05420247704119,111.44156320132828
2021-02-10,105.56099751097345,128.45847395148562,112.72227419432954,109.04062362224784
2021-02-11,105.56385103778462,129.4612307959985,111.5636264674638,109.32434467694823
2021-02-12,105.19508463989953,129.60753518905818,111.05958055270945,107.46350093378372
2021-02-15,105.85416358698919,125.65176831966414,113.45215670900556,105.00479016020756
2021-02-16,103.77786128796876,123.8207905330696,111.55529899841484,103.80104642114082
2021-02-17,105.59003640474806,123.55423434865186,110.36446716599865,105.77992845382474
2021-02-18,110.32520569351951,121.23652504571619,108.21813553474199,107.38668725245653
2021-02-19,112.43154703049984,122.401358237465,105.75217819927128,107.8107388220937
2021-02-22,112.83221392590643,125.40225539985548,105.45360798584767,105.2515915281391
2021-02-23,114.42303357797688,127.8470203994343,104.44480796135818,104.9387190253721
2021-02-24,112.63188971928393,127.43253331357514,107.39534715440828,105.45053361668525
